ID,Number,From,To,WaitToBoard,TotalTime
499,1,3,1,25,47
500,3,2,1,34,46
501,5,2,1,34,46
503,4,2,5,53,80
502,5,4,5,72,83
36,1,6,2,75,-1
64,4,5,1,75,-1
133,4,6,1,75,-1
141,6,6,1,75,-1
142,5,6,1,75,-1
274,6,5,1,75,-1
486,2,4,1,75,-1
